Year,Winning author,Title,Sales Pre-award,Sales Post-award,Growth Increase,Percentage growth,postaward-preaward,Publisher,
2000,Margaret Atwood,The Blind Assassin,8228,500717,60,5986,492489,Bloomsbury,X
2001,Peter Carey,True History of the Kelly Gang,10648,250323,23,2251,239675,Faber & Faber,X
2002,Yann Martel,Life of Pi,6287,1312221,208,20772,1305934,Canongate,X
2003,DBC Pierre,Vernon God Little,5151,359798,69,6885,354647,Faber & Faber,X
2004,Alan Hollinghurst,The Line of Beauty,8205,233941,28,2751,225736,Picador,X
2005,John Banville,The Sea,4622,194653,41,4111,190031,Picador,X
2006,Kiran Desai,The Inheritance of Loss,2397,182044,75,7495,179647,Hamish Hamilton,X
2007,Anne Enright,The Gathering,3687,221738,59,5914,218051,Jonathan Cape,X
2008,Aravind Adiga,The White Tiger,5703,551061,96,9563,545358,Atlantic,X
2009,Hilary Mantel,Wolf Hall,35900,594969,16,1557,559069,Fourth Estate,X
2010,Howard Jacobson,The Finkler Question,8360,277171,32,3215,268811,Bloomsbury,X
2011,Julian Barnes,The Sense of an Ending,27573,243314,8,782,215741,Jonathan Cape,X
,,,100,110,,10.0,10,,